iter	MultiClass
324	0.4084822305
325	0.4080462185
326	0.4072459371
327	0.4068853821
328	0.4062817589
329	0.4048462548
330	0.4042229919
331	0.4036013912
332	0.4032021056
333	0.4028558669
334	0.4024000052
335	0.4020381477
336	0.4018033612
337	0.4012208331
338	0.400497007
339	0.4000869212
340	0.3993495143
341	0.3989548134
342	0.398411431
343	0.398195326
344	0.3977877222
345	0.3973564505
346	0.3970786235
347	0.3967595921
348	0.3959881152
349	0.395515046
350	0.3950458263
351	0.3945451569
352	0.3940072911
353	0.3931667018
354	0.392733758
355	0.3919686579
356	0.3916128984
357	0.391244574
358	0.3909998873
359	0.3897881723
360	0.3894564679
361	0.38919615
362	0.3887591565
363	0.3884250693
364	0.3879745937
365	0.3871858244
366	0.3865914622
367	0.3862350067
368	0.3857949282
369	0.3848168378
370	0.3842496811
371	0.3836978442
372	0.3833068077
373	0.3828150231
374	0.3825361969
375	0.3820163951
376	0.3817310758
377	0.3812166592
378	0.3808524844
379	0.3805298713
380	0.3802017615
381	0.3797677441
382	0.3790963955
383	0.3786702248
384	0.3775939933
385	0.3772364069
386	0.3767155428
387	0.3763190842
388	0.3757898405
389	0.3753898934
390	0.3751375607
391	0.3748047466
392	0.3744256207
393	0.3738494812
394	0.373361897
395	0.3728133931
396	0.3726222966
397	0.3722381126
398	0.3717310523
399	0.3714345861
400	0.3708789413
401	0.3705336239
402	0.3702092362
403	0.36936691
404	0.369063431
405	0.3679966904
406	0.3675905668
407	0.3672427621
408	0.366761439
409	0.3664092888
410	0.3660010973
411	0.3655983197
412	0.3654338261
413	0.3651058474
414	0.3647997768
415	0.3646351844
416	0.3643467419
417	0.3639054627
418	0.3634622879
419	0.3631162482
420	0.3628261375
421	0.3624606296
422	0.3621813625
423	0.3618681451
424	0.3616206944
425	0.3613511748
426	0.3610841749
427	0.3605627701
428	0.3603419783
429	0.3597261759
430	0.3591184073
431	0.3584450993
432	0.3582343877
433	0.3578798072
434	0.3573477272
435	0.3571174655
436	0.3564462547
437	0.356038829
438	0.3558020876
439	0.3554717243
440	0.3551832034
441	0.3544235192
442	0.3538088228
443	0.3536045843
444	0.3532699343
445	0.3529940091
446	0.3523389174
447	0.3520023815
448	0.3518006686
449	0.3515058489
450	0.3510862789
451	0.350863226
452	0.3505879201
453	0.3501993032
454	0.3498056278
455	0.3493382917
456	0.3489929878
457	0.3488337428
458	0.3481520783
459	0.3479426014
460	0.3474942111
461	0.3471530587
462	0.3466668177
463	0.3461686187
464	0.3455290881
465	0.3452815751
466	0.3450756922
467	0.3447177012
468	0.3444889477
469	0.3440525941
470	0.3436601593
471	0.3432896618
472	0.3429644594
473	0.3427386592
474	0.3424563918
475	0.3418553233
476	0.3416685372
477	0.3410617293
478	0.3402087019
479	0.339951148
480	0.3396539015
481	0.3392696028
482	0.3388839171
483	0.3386025502
484	0.3383616559
485	0.3380340435
486	0.33769958
487	0.3371381918
488	0.3366893386
489	0.336399526
490	0.3360915577
491	0.3358224745
492	0.3352704868
493	0.3348004999
494	0.3343816322
495	0.3335584904
496	0.3332074949
497	0.3328884814
498	0.3325912661
499	0.3323554916
500	0.3322118604
501	0.3318978506
502	0.3311490603
503	0.3310430951
504	0.3308601086
505	0.3307139287
506	0.3301511793
507	0.3297098412
508	0.3293366949
509	0.3291473385
510	0.3285414601
511	0.3282352986
512	0.3269265085
513	0.3266848761
514	0.3263407279
515	0.3261131143
516	0.3259781723
517	0.3255608667
518	0.325340864
519	0.3246267353
520	0.324323755
521	0.3241476683
522	0.3237101165
523	0.3234072883
524	0.3232113211
525	0.3230321653
526	0.3227894669
527	0.3225618673
528	0.3222560825
529	0.3220369583
530	0.3215438005
531	0.3211854455
532	0.3209767281
533	0.3204751666
534	0.3201434515
535	0.3194782995
536	0.3192197168
537	0.3189235192
538	0.3185741681
539	0.3183674345
540	0.3182002051
541	0.3179905155
542	0.3176164425
543	0.3173924383
544	0.3171521599
545	0.316779271
546	0.3164006028
547	0.3161630232
548	0.3157195
549	0.3153504648
550	0.3150908041
551	0.3148675016
552	0.3146299477
553	0.3143464304
554	0.3137350156
555	0.3124779823
556	0.3122697244
557	0.3119082798
558	0.3114499589
559	0.3110606793
560	0.3103925065
561	0.310129841
562	0.3098051256
563	0.3096483256
564	0.3094175174
565	0.3091507894
566	0.3089587318
567	0.3084766879
568	0.3081797138
569	0.3080461648
570	0.3075061888
571	0.307275922
572	0.306806071
573	0.3064292815
574	0.3061040888
575	0.3054717001
576	0.3052570801
577	0.3048262572
578	0.3046067904
579	0.3041994504
580	0.3038734058
581	0.3035100908
582	0.303278075
583	0.3030533522
584	0.3028830364
585	0.3026660714
586	0.3024570619
3140993492
